item_id	country	media_type	code	relevant	relevance_500	relevance_100	relevance_1000
118735	Australia	Blog	2	0	0.215938	0.112605	0.161709
119750	Australia	Blog	2	0	-1	-1	-1
119772	Turkey	Blog	2	0	0.399474	0.250147	0.308934
119773	Turkey	Blog	2	0	0.104057	0.181859	0.063777
120909	Turkey	Blog	2	0	0.327711	0	0.091898
120910	Turkey	Blog	2	0	0.19349	0.309499	0.357255
120911	Turkey	Blog	2	0	0.22282	0.238978	0.405492
120912	Turkey	Blog	2	0	0	0	0.114901
121375	Turkey	Blog	2	0	0.183464	0.095206	0.099849
121718	Australia	Blog	2	0	0.371483	0.078886	0.336252
121719	Australia	Blog	2	0	0.42984	0.126767	0.217873
121725	Turkey	Blog	2	0	0.239625	0.378013	0.14125
122532	Australia	Blog	2	0	0.446649	0.052804	0.209362
122533	Australia	Blog	2	0	0.508232	0.453535	0.225882
122534	Australia	Blog	2	0	-1	-1	-1
122889	Australia	Blog	2	0	0.130536	0	0
122890	Switzerland	Blog	2	0	0.75801	0.114877	0.019245
123205	Australia	Blog	2	0	0.597371	0.414418	0.241688
123206	Australia	Blog	2	0	0.38668	0.19081	0.217864
123207	Australia	Blog	2	0	0.433101	0.299801	0.226104
123208	Australia	Blog	2	0	0.101817	0	0.011675
123461	Australia	Blog	2	0	0.111523	0	0
123784	Australia	Blog	2	0	0.195402	0	0
123787	Switzerland	Blog	2	0	0.264417	0.148172	0
124098	Australia	Blog	2	0	0.232938	0.093938	0.200153
124099	Australia	Blog	2	0	0.187657	0.164899	0.023658
124494	Australia	Blog	2	0	0.272643	0.153384	0.260041
124495	Australia	Blog	2	0	-1	-1	-1
125003	Switzerland	Blog	2	0	0.589076	0.581988	0.017671
125004	Turkey	Blog	2	0	0.017637	0.117868	0.103974
125005	Turkey	Blog	2	0	0.119298	0.369457	0.093721
125006	Turkey	Blog	2	0	0	0.133893	0.093329
125476	Australia	Blog	2	0	0.287048	0.082752	0.022801
125490	Switzerland	Blog	2	0	-1	-1	-1
125491	Switzerland	Blog	2	0	-1	-1	-1
125492	Turkey	Blog	2	0	0.036095	0	0
126004	Turkey	Blog	2	0	0.26622	0.310001	0.203111
126005	Turkey	Blog	2	0	0.344286	0.520502	0.344267
126566	Turkey	Blog	2	0	0.02357	0.056931	0
126567	Turkey	Blog	2	0	0.028401	0.011596	0.01994
127175	Turkey	Blog	2	0	0.124057	0.302811	0.114453
128597	Turkey	Blog	2	0	0.120832	0.27649	0.10174
129020	Australia	Blog	2	0	0.315188	0.112436	0.210942
129021	Australia	Blog	2	0	0.284076	0.016215	0.064546
130041	Australia	Blog	2	0	0.460405	0.374305	0.351612
130042	Australia	Blog	2	0	0.052422	0	0.013052
130368	Australia	Blog	2	0	0.197595	0.128679	0.145793
130370	Switzerland	Blog	2	0	0.501877	0.3657	0.303824
130765	Australia	Blog	2	0	0.432126	0.271485	0.174068
130766	Australia	Blog	2	0	0	0	0.020857
130772	Switzerland	Blog	2	0	-1	-1	-1
131147	Australia	Blog	2	0	0.171523	0.402638	0.230831
131148	Australia	Blog	2	0	0.163614	0.490391	0.117333
131687	Australia	Blog	2	0	0.052195	0	0.114013
132211	Australia	Blog	2	0	0.399411	0.153001	0.34399
132212	Australia	Blog	2	0	0.2055	0.093914	0.044954
132235	Turkey	Blog	2	0	0.328963	0.616553	0.51115
132707	Australia	Blog	2	0	0.307995	0.165518	0.204621
132732	Turkey	Blog	2	0	0.24908	0.031126	0.260774
132733	Turkey	Blog	2	0	0.025354	0.110293	0.080493
132734	Turkey	Blog	2	0	0.040408	0	0.08687
132735	Turkey	Blog	2	0	0.2887	0.2165	0.217827
132736	Turkey	Blog	2	0	0.255505	0.318065	0.262122
132737	Turkey	Blog	2	0	0.217654	0	0.084096
132738	Turkey	Blog	2	0	0.073055	0	0.085715
133202	Turkey	Blog	2	0	0.438649	0.505885	0.292909
133203	Turkey	Blog	2	0	0.012607	0.081478	0.017659
133204	Turkey	Blog	2	0	0	0	0
133759	Australia	Blog	2	0	-1	-1	-1
133760	Australia	Blog	2	0	0.145668	0.151105	0.06939
134303	Switzerland	Blog	2	0	0.305015	0.289302	0.098996
